English title,Original title,Director(s),Production countrie(s),Palme d'Or,Un Certain Regard,Out of competition,Television series,Midnight screening,Short film,Cannes premiere,Special screening,International Critics' Week,Directors' Fortnight,Caméra d'Or
About Dry Grasses,Kuru Otlar Üstüne,Nuri Bilge Ceylan,Turkey,1,0,0,0,0,0,0,0,0,0,0
Anatomy of a Fall,Anatomie d’Une Chute,Justine Triet,France,1,0,0,0,0,0,0,0,0,0,0
Asteroid City,Asteroid City,Wes Anderson,United States,1,0,0,0,0,0,0,0,0,0,0
Banel & Adama,Banel et Adama,Ramata-Toulaye Sy,Senegal,1,0,0,0,0,0,0,0,0,0,1
Black Flies,Black Flies,Jean-Stéphane Sauvaire,United States,1,0,0,0,0,0,0,0,0,0,0
A Brighter Tomorrow,Il sol dell'avvenire,Nanni Moretti,Italy,1,0,0,0,0,0,0,0,0,0,0
La Chimera,La Chimera,Alice Rohrwacher,"Italy, France, Switzerland",1,0,0,0,0,0,0,0,0,0,0
Club Zero,Club Zero,Jessica Hausner,"Austria, Denmark, France, Germany, United Kingdom",1,0,0,0,0,0,0,0,0,0,0
Fallen Leaves,Kuolleet lehdet,Aki Kaurismäki,Finland,1,0,0,0,0,0,0,0,0,0,0
Firebrand,Firebrand,Karim Aïnouz,United Kingdom,1,0,0,0,0,0,0,0,0,0,0
Four Daughters,Les Filles D'olfa,Kaouther Ben Hania,Tunisia,1,0,0,0,0,0,0,0,0,0,0
Homecoming,Le Retour,Catherine Corsini,France,1,0,0,0,0,0,0,0,0,0,0
Kidnapped,Rapito,Marco Bellocchio,Italy,1,0,0,0,0,0,0,0,0,0,0
Last Summer,L'été dernier,Catherine Breillat,France,1,0,0,0,0,0,0,0,0,0,0
May December,May December,Todd Haynes,United States,1,0,0,0,0,0,0,0,0,0,0
Monster,Kaibutsu (怪物),Hirokazu Kore-eda,Japan,1,0,0,0,0,0,0,0,0,0,0
The Old Oak,The Old Oak,Ken Loach,"United Kingdom, France, Belgium",1,0,0,0,0,0,0,0,0,0,0
Perfect Days,Perfect Days,Wim Wenders,"Japan, Germany",1,0,0,0,0,0,0,0,0,0,0
The Pot au Feu,La Passion de Dodin Bouffant,Tran Anh Hung,France,1,0,0,0,0,0,0,0,0,0,0
Youth (Spring),Qīngchūn (青春),Wang Bing,China,1,0,0,0,0,0,0,0,0,0,0
The Zone of Interest,The Zone of Interest,Jonathan Glazer,"United Kingdom, Poland, United States",1,0,0,0,0,0,0,0,0,0,0
The Breaking Ice,Rán dōng (燃冬),Anthony Chen,Singapore,0,1,0,0,0,0,0,0,0,0,0
The Buriti Flower,Crowrã,"Joao Salaviza, Renée Nader Messora",Brazil,0,1,0,0,0,0,0,0,0,0,0
The Delinquents,Los Delincuentes,Rodrigo Moreno,Argentina,0,1,0,0,0,0,0,0,0,0,0
Goodbye Julia,Goodbye Julia,Mohamed Kordofani,"Sudan, Egypt, Germany, France, Sweden, Saudi Arabia",0,1,0,0,0,0,0,0,0,0,1
Hopeless,Hwaran (화란),Kim Chang-hoon,South Korea,0,1,0,0,0,0,0,0,0,0,1
How to Have Sex,How to Have Sex,Molly Manning Walker,United Kingdom,0,1,0,0,0,0,0,0,0,0,1
If Only I Could Hibernate,If Only I Could Hibernate,Zoljargal Purevdash,Mongolia,0,1,0,0,0,0,0,0,0,0,1
Les Meutes,Les Meutes,Kamal Lazraq,Morocco,0,1,0,0,0,0,0,0,0,0,1
The Mother of All Lies,Kadib Abyad,Asmae El Moudir,Morocco,0,1,0,0,0,0,0,0,0,0,0
The Nature of Love,Simple Comme Sylvain,Monia Chokri,Canada,0,1,0,0,0,0,0,0,0,0,0
The New Boy,The New Boy,Warwick Thornton,Australia,0,1,0,0,0,0,0,0,0,0,0
Une Nuit,Une Nuit,Alex Lutz,France,0,1,0,0,0,0,0,0,0,0,0
Omen,Augure,Baloji Tshiani,"Belgium, Democratic Republic of the Congo",0,1,0,0,0,0,0,0,0,0,1
Only the River Flows,Only the River Flows,Wei Shujun,China,0,1,0,0,0,0,0,0,0,0,0
La Regne Animal,La Regne Animal,Thomas Cailley,France,0,1,0,0,0,0,0,0,0,0,0
Rien à Perdre,Rien à Perdre,Delphine Deloget,France,0,1,0,0,0,0,0,0,0,0,1
Rosalie,Rosalie,Stéphanie Di Giusto,France,0,1,0,0,0,0,0,0,0,0,0
The Settlers,Los Colonos,Felipe Gálvez,"Chile, Argentina",0,1,0,0,0,0,0,0,0,0,1
Terrestrial Verses,آیه‌های زمینی,"Ali Asgari, Alireza Khatami",Iran,0,1,0,0,0,0,0,0,0,0,0
L'Abbé Pierre – Une Vie de Combats,L'Abbé Pierre – Une Vie de Combats,Frédéric Tellier,France,0,0,1,0,0,0,0,0,0,0,0
Cobweb,Geomijib (거미집),Kim Jee-woon,South Korea,0,0,1,0,0,0,0,0,0,0,0
Elemental,Elemental,Peter Sohn,United States,0,0,1,0,0,0,0,0,0,0,0
Indiana Jones and the Dial of Destiny,Indiana Jones and the Dial of Destiny,James Mangold,United States,0,0,1,0,0,0,0,0,0,0,0
Jeanne du Barry,Jeanne du Barry,Maïwenn,France,0,0,1,0,0,0,0,0,0,0,0
Killers of the Flower Moon,Killers of the Flower Moon,Martin Scorsese,United States,0,0,1,0,0,0,0,0,0,0,0
The Idol,The Idol,Sam Levinson,United States,0,0,1,1,0,0,0,0,0,0,0
Acide,Acide,Just Philippot,France,0,0,1,0,1,0,0,0,0,0,0
Hypnotic,Hypnotic,Robert Rodriguez,United States,0,0,1,0,1,0,0,0,0,0,0
Kennedy,Kennedy,Anurag Kashyap,India,0,0,1,0,1,0,0,0,0,0,0
Omar La Fraise,Omar La Fraise,Elias Belkeddar,France,0,0,1,0,1,0,0,0,0,0,0
Project Silence,Project Silence,Kim Tae-gon,South Korea,0,0,1,0,1,0,0,0,0,0,0
Along Came Love,Le Temps d'aimer,Katell Quillévéré,France,0,0,0,0,0,0,1,0,0,0,0
"Bonnard, Pierre & Marthe","Bonnard, Pierre & Marthe",Martin Provost,France,0,0,0,0,0,0,1,0,0,0,0
Close Your Eyes,Cerrar los ojos,Víctor Erice,"Spain, Argentina",0,0,0,0,0,0,1,0,0,0,0
Eureka,Eureka,Lisandro Alonso,Argentina,0,0,0,0,0,0,1,0,0,0,0
Just The Two of Us,L'Amour et Les Forêts,Valérie Donzelli,France,0,0,0,0,0,0,1,0,0,0,0
Kubi,Kubi,Takeshi Kitano,Japan,0,0,0,0,0,0,1,0,0,0,0
Lost In the Night,Perdidos en la Noche,Amat Escalante,Mexico,0,0,0,0,0,0,1,0,0,0,0
Anselm (Das Rauschen Der Zeit),Anselm (Das Rauschen Der Zeit),Wim Wenders,Germany,0,0,0,0,0,0,0,1,0,0,0
Bread and Roses,Bread and Roses,Sahra Mani,Afghanistan,0,0,0,0,0,0,0,1,0,0,0
Little Girl Blue,Little Girl Blue,Mona Achache,"France, Belgium",0,0,0,0,0,0,0,1,0,0,0
Man in Black,Man in Black,Wang Bing,China,0,0,0,0,0,0,0,1,0,0,0
Occupied City,Occupied City,Steve McQueen,"United States, United Kingdom",0,0,0,0,0,0,0,1,0,0,0
Pictures of Ghosts,Retratos Fantasmas,Kleber Mendonça Filho,Brazil,0,0,0,0,0,0,0,1,0,0,0
Le Théorème de Marguerite,Le Théorème de Marguerite,Anna Novion,France,0,0,0,0,0,0,0,1,0,0,0
