English title,Original title,Director(s),Production countrie(s)
The Delinquents,Los Delincuentes,Rodrigo Moreno,Argentina
How to Have Sex,How to Have Sex,Molly Manning Walker,United Kingdom
Goodbye Julia,Goodbye Julia,Mohamed Kordofani,"Sudan, Egypt, Germany, France, Sweden, Saudi Arabia"
The Buriti Flower,Crowrã,"Joao Salaviza, Renée Nader Messora",Brazil
The Nature of Love,Simple Comme Sylvain,Monia Chokri,Canada
The Mother of All Lies,Kadib Abyad,Asmae El Moudir,Morocco
The Settlers,Los Colonos,Felipe Gálvez,"Chile, Argentina"
Omen,Augure,Baloji Tshiani,"Belgium, Democratic Republic of the Congo"
The Breaking Ice,The Breaking Ice,Anthony Chen,Singapore
Rosalie,Rosalie,Stéphanie Di Giusto,France
The New Boy,The New Boy,Warwick Thornton,Australia
If Only I Could Hibernate,If Only I Could Hibernate,Zoljargal Purevdash,Mongolia
Hopeless,Hwaran (화란),Kim Chang-Hoon,South Korea
Terrestrial Verses [fa],آیه‌های زمینی,"Ali Asgari, Alireza Khatami",Iran
Rien à Perdre,Rien à Perdre,Delphine Deloget,France
Les Meutes,Les Meutes,Kamal Lazraq,Morocco
La Regne Animal,La Regne Animal,Thomas Cailley,France
