English title,Original title,Director(s),Production countrie(s)
About Dry Grasses,Kuru Otlar Üstüne,Nuri Bilge Ceylan,Turkey
Anatomy of a Fall,Anatomie d’Une Chute,Justine Triet,France
Asteroid City,Asteroid City,Wes Anderson,United States
Banel & Adama,Banel et Adama,Ramata-Toulaye Sy,Senegal
La Chimera,La Chimera,Alice Rohrwacher,"Italy, France, Switzerland"
Club Zero,Club Zero,Jessica Hausner,"Austria, Denmark, France, Germany, United Kingdom"
Fallen Leaves,Kuolleet lehdet,Aki Kaurismäki,Finland
Firebrand,Firebrand,Karim Aïnouz,United Kingdom
Four Daughters,Les Filles D'olfa,Kaouther Ben Hania,Tunisia
Il sol dell'avvenire,Il sol dell'avvenire,Nanni Moretti,Italy
Kidnapped,Rapito,Marco Bellocchio,Italy
Last Summer,L'été dernier,Catherine Breillat,France
May December,May December,Todd Haynes,United States
Monster,Kaibutsu (怪物),Hirokazu Kore-eda,Japan
The Old Oak,The Old Oak,Ken Loach,United Kingdom
Perfect Days,Perfect Days,Wim Wenders,"Germany, Japan"
The Pot au Feu,La Passion de Dodin Bouffant,Tran Anh Hung,France
Youth (Spring),Qīngchūn (青春),Wang Bing,China
The Zone of Interest,The Zone of Interest,Jonathan Glazer,"United Kingdom, Poland, United States"
