English title,Original title,Director(s),Production country
Agra,Agra,Kanu Behl,India
Blackbird Blackbird Blackberry,Blackbird Blackbird Blackberry,Elene Naveriani,"Switzerland, Germany, Georgia"
The Book of Solutions,The Book of Solutions,Michel Gondry,France
Creatura,Creatura,Elena Martín Gimeno,Spain
Déserts,Déserts,Faouzi Bensaïdi,"Morocco, France, Germany, Belgium"
The Feeling That The Time For Doing Something Has Passed (CdO),The Feeling That The Time For Doing Something Has Passed (CdO),Joanna Arnow,United States
The Goldman Case,The Goldman Case,Cédric Kahn,France
Grace (CdO),Grace (CdO),Ilya Povolotsky,Russia
In Flames,In Flames,Zarrar Kahn,"Canada, Pakistan"
In Our Day,In Our Day,Hong Sang-soo,South Korea
Inside the Yellow Cocoon Shell (CdO),Inside the Yellow Cocoon Shell (CdO),Thien An Pham,"Vietnam, Singapore, France"
Légua,Légua,"Filipa Reis, João Miller Guerra","Portugal, France, Italy"
Mambar Pierrette,Mambar Pierrette,Rosine Mbakam,Cameroon
The Other Laurens,The Other Laurens,Claude Schmitz,France
A Prince,A Prince,Pierre Creton,France
Riddle of Fire (CdO),Riddle of Fire (CdO),Weston Razooli,United States
She Is Conann,She Is Conann,Bertrand Mandico,"Belgium, France, Luxembourg"
A Song Sung Blue (CdO),A Song Sung Blue (CdO),Zihan Geng,China
The Sweet East (CdO),The Sweet East (CdO),Sean Price Williams,United States
